ewtb.r.263870.4:29	for	Beneficiary	With a Pizza Hut , IHOP , 3 Starbucks , Chili s , Panera , and Chipotle on campus ALONE , VCU has some of the best eating options |for| students .
ewtb.r.263870.5:12	in	Activity	VCU has the # 1 art school in America , and EXCELS |in| healthcare and medical schooling .
ewtb.r.263870.5:7	in	Location	VCU has the # 1 art school |in| America , and EXCELS in healthcare and medical schooling .
ewtb.r.263870.7:20	in	Location	VCU also offers high - rise living for students and professors , and the historic yet fixed - up houses |in| the Fan are also available to students , professors , or even people wanting to live in a safe , viable community .
ewtb.r.263870.7:26	to	Beneficiary	VCU also offers high - rise living for students and professors , and the historic yet fixed - up houses in the Fan are also available |to| students , professors , or even people wanting to live in a safe , viable community .
ewtb.r.263870.7:37	in	Location	VCU also offers high - rise living for students and professors , and the historic yet fixed - up houses in the Fan are also available to students , professors , or even people wanting to live |in| a safe , viable community .
ewtb.r.263870.7:7	for	Beneficiary	VCU also offers high - rise living |for| students and professors , and the historic yet fixed - up houses in the Fan are also available to students , professors , or even people wanting to live in a safe , viable community .
ewtb.r.263870.8:4	from	Location	VCU is also minutes |from| Downtown Richmond , Canal Walk , Carytown , Stony Point , Short Pump , and the VCU Medical Center .
ewtb.r.263870.9:5	in	Location	It is the best university |in| Virginia and continuously receives rave reviews every year .
ewtb.r.263909.2:14	for	Value	Bisconti wanted over $ 300 to fix my laptop and these guys fixed it |for| $ 90 !
ewtb.r.263909.2:2	over	Approximator	Bisconti wanted |over| $ 300 to fix my laptop and these guys fixed it for $ 90 !
ewtb.r.263909.2:5	to	Purpose	Bisconti wanted over $ 300 |to| fix my laptop and these guys fixed it for $ 90 !
ewtb.r.263909.4:3	within	DeicticTime	Had it fixed |within| a few days ( had to order a part ) .
ewtb.r.264993.1:2	Of	Whole	An Hour |Of| Prego Bliss !
ewtb.r.264993.2:14	on	Manner	I schedule my weekly appointment here just to get a chance to lie comfortably |on| my tummy .
ewtb.r.264993.2:7	to	Purpose	I schedule my weekly appointment here just |to| get a chance to lie comfortably on my tummy .
ewtb.r.266591.1:3	in	Location	Best Chineese food |in| the area
ewtb.r.266591.2:7	out of	InitialLocation	The food here is fresh and hot |out| |of| the Wok .
ewtb.r.266591.3:5	by	Agent	The food is cooked fast |by| the two chefs on duty .
ewtb.r.266591.3:9	on duty	Activity	The food is cooked fast by the two chefs |on| |duty| .
ewtb.r.266591.4:11	for	Value	The lunch specials are more food than most people can eat |for| about $ 6 .
ewtb.r.266591.4:12	about	Approximator	The lunch specials are more food than most people can eat for |about| $ 6 .
ewtb.r.266591.4:6	than	Scalar/Rank	The lunch specials are more food |than| most people can eat for about $ 6 .
ewtb.r.266591.5:5	at	Time	It is busy every day |at| lunch for a reason , the service is fast and the food is great .
ewtb.r.266591.5:7	for	Explanation	It is busy every day at lunch |for| a reason , the service is fast and the food is great .
ewtb.r.266676.1:1	For	Reciprocation	Thanks |For| A Great Job
ewtb.r.266676.2:1	For	Reciprocation	Thanks |For| The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting Back In To The Grid Is Great , Great Job Thanks
ewtb.r.266676.2:14	On	Patient	Thanks For The Prompt Service And Great Job You And Your Boys Have Done |On| Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting Back In To The Grid Is Great , Great Job Thanks
ewtb.r.266676.2:22	On	Location	Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels |On| The Roof Look Great And The Power We Are Putting Back In To The Grid Is Great , Great Job Thanks
ewtb.r.266676.2:33	Back	Direction	Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting |Back| In To The Grid Is Great , Great Job Thanks
ewtb.r.266676.2:35	To	Destination	Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting Back In |To| The Grid Is Great , Great Job Thanks
ewtb.r.267732.3:7	at	Location	November 7 , 2010 First time eating |at| Caffe Bella Italia and it was a wonderful experience .
ewtb.r.267732.4:0	From	Comparison/Contrast	|From| the delectable Antipasto Misto to the Spaghetti alla Barese and the Parmigiana and ending with gelato , all was mouth watering .
ewtb.r.267732.4:15	with	Manner	From the delectable Antipasto Misto to the Spaghetti alla Barese and the Parmigiana and ending |with| gelato , all was mouth watering .
ewtb.r.267732.4:5	to	Comparison/Contrast	From the delectable Antipasto Misto |to| the Spaghetti alla Barese and the Parmigiana and ending with gelato , all was mouth watering .
ewtb.r.267793.2:5	from	StartState	Dr Greenwalt fixed my neck |from| a snowboard injury and was way more effective that a regular doctor .
ewtb.r.267982.1:6	with	ProfessionalAspect	I won a golf lesson certificate |with| Adz through a charity auction .
ewtb.r.267982.1:8	through	Means	I won a golf lesson certificate with Adz |through| a charity auction .
ewtb.r.267982.2:4	by	Agent	The lesson was donated |by| the teacher Adz .
ewtb.r.268673.3:10	on shelf	Location	To my surprise $ 20 deposit .... New movies not |on| |shelf| .. under the counter for Telugu Speaking people only ... or people who spend $ 30 or more groceries ..
ewtb.r.268673.3:13	under	Location	To my surprise $ 20 deposit .... New movies not on shelf .. |under| the counter for Telugu Speaking people only ... or people who spend $ 30 or more groceries ..
ewtb.r.268673.3:16	for	Beneficiary	To my surprise $ 20 deposit .... New movies not on shelf .. under the counter |for| Telugu Speaking people only ... or people who spend $ 30 or more groceries ..
ewtb.r.268673.4:3	for	Beneficiary	That did it |for| me .. no more Raina 's .
ewtb.r.268673.5:9	with	Circumstance	Besides parking is a pain .. cramped and un-ruly |with| Kumon Parents next door .... gives me heebee gee bees'
ewtb.r.268952.2:5	since	StartTime	I have been going there |since| I was a little girl and love the friendly and relaxing atmosphere .
ewtb.r.268952.4:11	of	Theme	I would recommend Bayside Chiropractic to anyone who is in need |of| a regular adjustment or is suffering from a chronic condition .
ewtb.r.268952.4:18	from	Causer	I would recommend Bayside Chiropractic to anyone who is in need of a regular adjustment or is suffering |from| a chronic condition .
ewtb.r.268952.4:5	to	Recipient	I would recommend Bayside Chiropractic |to| anyone who is in need of a regular adjustment or is suffering from a chronic condition .
ewtb.r.268952.4:9	in need	State	I would recommend Bayside Chiropractic to anyone who is |in| |need| of a regular adjustment or is suffering from a chronic condition .
ewtb.r.269560.1:12	at	Recipient	Was there this past weekend and the guy behind the counter yelled |at| me and my son because we believed he left the grandma slice in the oven a little too long and the cheese got all dried out and the slice tasted more like a cracker .
ewtb.r.269560.1:25	in	Location	Was there this past weekend and the guy behind the counter yelled at me and my son because we believed he left the grandma slice |in| the oven a little too long and the cheese got all dried out and the slice tasted more like a cracker .
ewtb.r.269560.1:43	more like	Comparison/Contrast	Was there this past weekend and the guy behind the counter yelled at me and my son because we believed he left the grandma slice in the oven a little too long and the cheese got all dried out and the slice tasted |more| |like| a cracker .
ewtb.r.269560.1:8	behind	Location	Was there this past weekend and the guy |behind| the counter yelled at me and my son because we believed he left the grandma slice in the oven a little too long and the cheese got all dried out and the slice tasted more like a cracker .
ewtb.r.269560.2:12	into	Destination	He preceded to grab the slice off the countertop and throw it |into| the trash while yelling at me saying , " you do not order what you do not know about " and " you do n't know how pizza is made " .
ewtb.r.269560.2:17	at	Recipient	He preceded to grab the slice off the countertop and throw it into the trash while yelling |at| me saying , " you do not order what you do not know about " and " you do n't know how pizza is made " .
ewtb.r.269560.2:31	about	Topic	He preceded to grab the slice off the countertop and throw it into the trash while yelling at me saying , " you do not order what you do not know |about| " and " you do n't know how pizza is made " .
ewtb.r.269560.2:6	off	InitialLocation	He preceded to grab the slice |off| the countertop and throw it into the trash while yelling at me saying , " you do not order what you do not know about " and " you do n't know how pizza is made " .
ewtb.r.269560.3:11	in front of	Location	It was very upsetting to see this kind of behavior especially |in| |front| |of| my four year old .
ewtb.r.269560.3:8	of	Species	It was very upsetting to see this kind |of| behavior especially in front of my four year old .
ewtb.r.269560.4:14	home	Location	He was in the process of making me a pie and when I got |home| , the pie was the worst I have ever seen .
ewtb.r.269560.4:2	in	State	He was |in| the process of making me a pie and when I got home , the pie was the worst I have ever seen .
ewtb.r.269560.4:5	of	Instance	He was in the process |of| making me a pie and when I got home , the pie was the worst I have ever seen .
ewtb.r.269560.5:3	off	Direction	Cheese was falling |off| , so oily and greasy .
ewtb.r.269560.6:12	for	Theme	I think he did it on purpose because of my simple request |for| another slice of grandma that was n't so well - done ( actually , burnt ) .
