,P,,Transitivity,v1,Informal grouping,v2 Scene Role,v2 Prep Function,sent:token ID,v2 decision,
ewtb.r.333243.6:22,to,,,Purpose,,Purpose,,,,"Asked why , Rod simply told me that he had to research how to do the amendment ( it was an amended |to| show that I had purchased a home - nothing out of the ordinary , one would think ) and that took time to figure out ."
ewtb.r.336049.4:53,to,,,Purpose,,Purpose,,,,"Very frustrating for a restaurant that has 1 rosette and is supposedly renowned for the service ... hmm There was no canape's or amuse to keep us occupied , once we complained about the wait they took us something to nibble on but that took us getting out our chairs and wondering round |to| do that and it was impossible to get anyone s attention ."
ewtb.r.336049.6:13,to,,,Purpose,,Purpose,,,,On top of that though they tried to charge us service charge just |to| rub it it ....
ewtb.r.342807.4:26,to,,,Purpose,,Purpose,,,,"Anyway , I was practically raised on this stuff , and being a connoisseur of West Indian cuisine , Jamaica Way is a bit toned down |to| suit the American palette ."
ewtb.r.342807.5:5,to,,,Purpose,,Purpose,,,,"All you have to do |to| make it authentic Jamaican food , is add a whole lot of pepper ."
ewtb.r.343813.3:5,to,,,Purpose,,Purpose,,,,Travelled 40 mins after calling |to| see if a product was in stock .
ewtb.r.345182.7:10,to,,,Purpose,,Purpose,,,,I took the original piece of metal and rigged it |to| make due since I had to complete the job .
ewtb.r.355325.2:5,to,,,Purpose,,Purpose,,,,"I came to La Crosse |to| go to college , and my mom would send me birthday flowers though here ."
ewtb.r.363685.15:7,to,,,Purpose,,Purpose,,,,They count the cans in the trash |to| make sure .
ewtb.r.371300.7:16,to,,,Purpose,,Purpose,,,,"Plus the drinks are self service , have fun trying to negotiate the small cafeteria space |to| get your coffee , juice or water ."
ewtb.r.376320.3:17,to,,,Purpose,,Purpose,,,,I work for a large retail company recently expanding our operations into Canada and had to travel |to| ensure all of our computer network equipment was installed properly and on time .
ewtb.r.385436.1:19,to,,,Purpose,,Purpose,,,,"This is the best Mediterranean Restaurant in the West Valley , I have friend who drive from central Phx |to| come here ."
ewtb.r.394662.4:17,to,,,Purpose,,Purpose,,,,"I enjoy going there although i 've only been there once , i will be returning toda |to| recieve a pair of french tips and i will only go to the best and to me the best is here ."
ewtb.r.398243.7:30,to,,,Purpose,,Purpose,,,,"The price was actually lower than what I had anticipated and used to compared to other places , plus he showed me the work he did when I came in |to| pick up the car ."
ewtb.r.398243.8:12,to,,,Purpose,,Purpose,,,,"Also , a week after the work , Phet called me up |to| see how my car was running and to let me know that they had accidentally overcharged me for part of the work and wanted to give me a refund for that amount ."
ewtb.r.398243.8:20,to,,,Purpose,,Purpose,,,,"Also , a week after the work , Phet called me up to see how my car was running and |to| let me know that they had accidentally overcharged me for part of the work and wanted to give me a refund for that amount ."
ewtb.r.034813.4:18,to eat,,,Purpose,,Purpose,,,,"Sure , some items are a little pricey , but c'm on ... have you ever been out |to| |eat| in Seattle before ?"
ewtb.r.276689.10:13,for,,,Theme,in-exchange-for?,Purpose?,,,,I know that 's ugly ... but she wo n't help you out |for| anything ... sad story .
ewtb.r.006970.10:2,of,,,Quantity,,Quantity,Gestalt,,,Huge ammount |of| time wasted time and elevated blood pressure .
ewtb.r.231203.10:21,of,,,Quantity,,Quantity,Gestalt,,,"Nice local pub , excellent food ( especially wings ) , and do n't go if you have a limited amount |of| time ."
ewtb.r.332068.1:9,of,,,Quantity,,Quantity,Gestalt,,,Would not recommend I Was in a fair amount |of| pain for several weeks .
ewtb.r.053248.9:14,of,,,Quantity,,Quantity,Stuff,,,"Then again , for the three of us who dined together , two pieces |of| flatbread left us fighting for more , and licking the hummus from our fingers ( and yes , those two pieces of flatbread did represent a three - person order ) ."
ewtb.r.053248.9:36,of,,,Quantity,,Quantity,Stuff,,,"Then again , for the three of us who dined together , two pieces of flatbread left us fighting for more , and licking the hummus from our fingers ( and yes , those two pieces |of| flatbread did represent a three - person order ) ."
ewtb.r.059386.3:25,of,,,Quantity,,Quantity,Stuff,,,Wait staff is always ready to help if you ca n't decide ( which happens every time for me d / t the huge menu |of| rolls ) and always courteous !
ewtb.r.101972.6:15,of,,,Quantity,,Quantity,Stuff,,,"However , we waited and waited and in the mean time , saw 4 groups |of| people simply just paraded in without signing there names ."
ewtb.r.269560.6:15,of,,,Quantity,,Quantity,Stuff,,,"I think he did it on purpose because of my simple request for another slice |of| grandma that was n't so well - done ( actually , burnt ) ."
ewtb.r.292841.3:3,of,,,Quantity,,Quantity,Stuff,,,"A large group |of| my friends and I rent almost the whole motel every year for a weekend , and the experience and stay have always been five - star ."
ewtb.r.314880.1:8,of,,,Quantity,,Quantity,Stuff,,,I am in love with the giant plate |of| nachos !
ewtb.r.360937.3:4,of,,,Quantity,,Quantity,Stuff,,,"I had a sampler |of| IPA , Brawler , Love Stout & ESA ."
ewtb.r.014764.3:6,of,,,Superset,QuantityProportion,Quantity,Whole,,,Many thanks from myself and all |of| our wedding guests !
ewtb.r.036133.2:4,of,,,Superset,QuantityProportion,Quantity,Whole,,,I bought about half |of| the furniture I own from this place .
ewtb.r.036133.6:8,of,,,Superset,QuantityProportion,Quantity,Whole,,,Well they came through and delivered almost all |of| my items within a few days .
ewtb.r.063963.3:15,of,,,Whole,QuantityProportion,Quantity,Whole,,,"Even taking into account the fact that my 3 year old wanted to run most |of| the way round , it took us just over one hour start to finish ."
ewtb.r.071518.4:5,of,,,Whole,QuantityProportion,Quantity,Whole,,,Eagle Transmission determined that much |of| the work the dealer said needed to be done was unneccesary and what needed to be fixed was only $ 400 !!
ewtb.r.091704.6:1,of,,,Whole,QuantityProportion,Quantity,Whole,,,All |of| this started after their oil change .
ewtb.r.094621.4:10,of,,,Whole,QuantityProportion,Quantity,Whole,,,The second vendor charged $ 55 ( less than half |of| what A&E charges ) to come and applied that to the price of the repair service ( which A&E does not ) .
ewtb.r.117893.4:3,of,,,Whole,QuantityProportion,Quantity,Whole,,,Loved every bit |of| it . :)
ewtb.r.154157.3:5,of,,,Whole,QuantityProportion,Quantity,Whole,,,"He was less than half |of| the price of the cheapest quote we got , and his work was top notch ."
ewtb.r.165032.1:5,of,,,Whole,QuantityProportion,Quantity,Whole,,,Michael helped shoot the majority |of| my firm 's website and we could not have been happier .
ewtb.r.188548.4:18,of,,,Whole,QuantityProportion,Quantity,Whole,,,"When it came time to pay the bill up front , they would not let me use any |of| the certificate for a tip ( which I have done with any other restaurant I 've gotten a gift certificate for . )"
ewtb.r.215460.2:20,of,,,Whole,QuantityProportion,Quantity,Whole,,,"Hopless service , at the time of booking my car a lot was promised but delivered not even one tenth |of| what was promised ."
ewtb.r.256677.4:7,of,,,Whole,QuantityProportion,Quantity,Whole,,,I know now where to get all |of| my wine and beer .
ewtb.r.307170.1:6,of,,,Whole,QuantityProportion,Quantity,Whole,,,Best Limo Limousine service in all |of| Dallas
ewtb.r.338429.19:4,of,,,Whole,QuantityProportion,Quantity,Whole,,,Gates worked 30 % |of| the time at best .
ewtb.r.354336.4:13,of,,,Whole,QuantityProportion,Quantity,Whole,,,It 's the best meal for the money you will find in all |of| metro Atlanta .
ewtb.r.360698.3:17,of,,,Whole,QuantityProportion,Quantity,Whole,,,"And , I can say , this was one of my favorite places to eat in all |of| Richmond ."
ewtb.r.365154.9:8,of,,,Whole,QuantityProportion,Quantity,Whole,,,She probably does not even have 10 % |of| the knowledge that some of the other EXPERIENCED vets do in this area .
ewtb.r.361316.4:7,of,,,Superset,QuantityProportionSet,Quantity,Whole,,,Once they fixed it they answetred all |of| my questions with no hesitations and then gave me the best quote ever .
ewtb.r.361545.2:26,of,,,Superset,QuantityProportionSet,Quantity,Whole,,,"Outside of parking being at a premium , especially on discount days , The Laundry Tub is not filthy and it 's no smaller than any |of| a dozen laundromats I 've been in ."
ewtb.r.363873.7:16,of,,,Superset,QuantityProportionSet,Quantity,Whole,,,"Linda is the rudest person you will ever talk to and she sticks up for all |of| the trashy , rude people that live there , not the nice ones that actually give a crap about respecting others ."
ewtb.r.365154.9:13,of,,,Superset,QuantityProportionSet,Quantity,Whole,,,She probably does not even have 10 % of the knowledge that some |of| the other EXPERIENCED vets do in this area .
ewtb.r.366586.6:9,of,,,Superset,QuantityProportionSet,Quantity,Whole,,,"This was a flavorful , enjoyable meal for both |of| us ."
ewtb.r.369210.7:10,of,,,Superset,QuantityProportionSet,Quantity,Whole,,,I urge all St. Thomas the Apostle parishioners and all |of| South Florida residents to come see Gus !!!
ewtb.r.149741.2:13,of,,,Quantity,,Quantity,Whole,,,If you watch a lot of fights ( youtube ) and research some |of| the history ( http://en.wikipedia.org/wiki/Bullfighting ) you will find yourself enjoying it a lot more !
ewtb.r.225632.6:8,of,,,Quantity,,Quantity,Whole,,,"For those who care , a good proportion |of| the my class went on to 4 - year colleges , many of them ranked in the top 50 of US News ."
ewtb.r.376320.3:20,of,,,Quantity,,Quantity,Whole,,,I work for a large retail company recently expanding our operations into Canada and had to travel to ensure all |of| our computer network equipment was installed properly and on time .
ewtb.r.005636.2:9,of,,,Superset,,Quantity,Whole,,,FITNESS UNLIMITED is a second home to a lot |of| us gym members who work out daily .
ewtb.r.031113.2:8,of,,,Superset,,Quantity,Whole,,,"I just moved nearby and have tried several |of| the local places , this was the first one and I should have just stuck with it ."
ewtb.r.039383.3:13,of,,,Superset,,Quantity,Whole,,,Do n't know where else you can find Purple Hull Peas and some |of| the other sides .
ewtb.r.043020.5:6,of,,,Superset,,Quantity,Whole,,,Within a week we noticed one |of| the boards on our gate splitting where a nail had gone in .
ewtb.r.049766.2:8,of,,,Superset,,Quantity,Whole,,,I would give the Wildernest inn ten stars |of| five !
ewtb.r.053248.9:6,of,,,Superset,,Quantity,Whole,,,"Then again , for the three |of| us who dined together , two pieces of flatbread left us fighting for more , and licking the hummus from our fingers ( and yes , those two pieces of flatbread did represent a three - person order ) ."
ewtb.r.057644.7:3,of,,,Superset,,Quantity,Whole,,,Removing 90 % |of| ' sit - abouts ' in main room would look cleaner .
ewtb.r.062167.4:10,of,,,Superset,,Quantity,Whole,,,I found her through a colleague one day when one |of| my clients was in the midst of a panic attack and needed professional help that I am not qualified to provide .
ewtb.r.070730.1:42,of,,,Superset,,Quantity,Whole,,,"We decided to try this place last night because we noticed that it had some interesting things on the menu aside from the usual rolls -- live scallop sashimi , duck breast nigiri with foie gras , panko mussels -- but none |of| these were particularly great or worth the sticker price ."
ewtb.r.071650.3:5,of,,,Superset,,Quantity,Whole,,,I signed up with one |of| the staff who was very pleasant and professional .
ewtb.r.080221.4:1,of,,,Superset,,Quantity,Whole,,,Each |of| you should be proud of your massive contributions throughout the year !
ewtb.r.081934.2:10,of,,,Superset,,Quantity,Whole,,,"I am not a client of liquidweb.com , but one |of| my friend called Steven is the client having several websites ."
ewtb.r.085424.3:5,of,,,Superset,,Quantity,Whole,,,I have had all three |of| my children attend Lake Forest Tots .
ewtb.r.086839.2:1,of,,,Superset,,Quantity,Whole,,,One |of| the worst experiences I 've ever had with a auto repair shop .
ewtb.r.094621.1:11,of,,,Superset,,Quantity,Whole,,,"Disatisfied customer , I went through Kitchen Aid and used one |of| their recommended vendors ."
ewtb.r.096340.1:1,of,,,Superset,,Quantity,Whole,,,ONe |of| a few .
ewtb.r.096340.2:3,of,,,Superset,,Quantity,Whole,,,Hancocks is one |of| four fabric stores in Fort Smith .
ewtb.r.101398.3:8,of,,,Superset,,Quantity,Whole,,,We were a party of 4 and none |of| us were particularly pleased with our dishes .
